HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
14,802.617,215.719,221.178,365.72,14,785.678,71.6,264.904,"449.174
"
14,780.867,150.881,240.952,389.034,14,810.192,150.345,306.847,"353
"
14,912.131,214.096,284.035,414,14,820.614,256.108,190.506,"374
"
14,849.758,118.5,285.312,445.946,13,795.71,75.934,363.776,"356
"
14,841.646,130.2,250.7,460.746,14,795.036,49.856,332.28,"412.9
"
13,817.7,162.7,282.0,373,14,808.058,98.988,346.256,"362.814
"
13,861.501,229.96,242.541,389,14,797.596,83.686,288.91,"425
"
14,808.409,177.825,310.356,320.228,14,889.586,157.076,333.51,"399
"
14,792.177,252.0,197.352,342.825,14,868.11,190.502,344.208,"333.4
"
11,889,247,243,399,14,899.632,91.39,397.536,"410.706
"
14,828.686,306.22,151.466,371,13,855.67,166.975,306.695,"382
"
14,812.37,181.42,348.95,282,14,854.601,210.768,251.641,"392.192
"
14,790.212,146.712,217.0,426.5,13,844.062,78.33,311.638,"454.094
"
14,805.735,52.362,344.198,409.175,14,908.796,136.452,367.344,"405
"
14,869.221,166.6,229.398,473.223,14,790.189,90.717,254.816,"444.656
"
13,809.5,76,360.5,373,13,794.22,162.616,259.004,"372.6
"
14,805.991,74.488,369.7,361.803,12,817.856,147.856,297,"373
"
14,802.276,184.568,268.906,348.802,13,793.534,207.986,225.548,"360
"
13,877.556,242.682,235,399.874,14,786.222,126.627,295.269,"364.326
"
14,853.931,134.026,411.905,308.0,13,875.849,257.784,226.065,"392
"
14,806.349,175.849,260.596,369.904,14,858.613,159.171,250.872,"448.57
"
13,814.596,147.532,294.064,373,14,837.322,337.442,118.88,"381
"
14,794.924,209.592,233.573,351.759,14,812.739,151,292.404,"369.335
"
14,791.983,143.247,291.736,357,14,803.376,164.619,288.757,"350
"
14,906.666,167.933,328.733,410,14,789.045,146.89,284.155,"358
"
13,852.203,211.036,257.649,383.518,14,785.765,88.851,340.914,"356
"
14,843.946,151.932,302.945,389.069,14,808.682,116.182,299.5,"393.0
"
14,791.743,75.024,257.747,458.972,14,806.2,74.378,371.0,"360.822
"
14,909.172,131.928,375.244,402,14,885.977,165.376,322.2,"398.401
"
13,826.598,285.398,170.2,371,12,794.0,216.0,218,"360
"
14,885.292,185.764,306.528,393,14,856.371,167.097,307.274,"382
"
13,785.855,75.797,354.058,356,14,801.2,219.7,223.1,"358.4
"
14,805.328,150,303.976,351.352,14,831.768,68.484,394.284,"369
"
13,788.243,147,283.799,357.444,14,785.036,172.789,242.143,"370.104
"
14,877.554,233.2,251.866,392.488,14,796.33,138,299.464,"358.866
"
14,811.903,89.888,297.671,424.344,14,902.323,155.313,347.01,"400
"
14,806.736,136.0,302.736,368,14,904.978,186.516,310.462,"408
"
14,805.1,220.1,266.5,318.5,14,815.701,137.382,304.516,"373.803
"
14,879.087,171,221.954,486.133,14,846.124,89.31,303.835,"452.979
"
14,784.304,135,291.159,358.145,14,852.27,108.36,288.91,"455
"
