MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides
12336,Leicester,3,0,Stoke,45.2,54.8,5,2,15,3,586,639,359,441,19,20,19,25,8,4,1,0
12337,Man Utd,0,1,Southampton,55.4,44.6,1,2,8,7,651,579,457,361,9,18,22,28,4,4,2,1
12339,Sunderland,1,1,Bournemouth,42.7,57.3,5,5,10,15,592,752,377,505,20,23,37,35,3,4,2,1
12340,Watford,2,1,Newcastle,51.3,48.7,5,2,13,11,695,632,473,431,31,18,17,17,2,7,1,1
12341,West Brom,0,0,Aston Villa,39.4,60.6,0,4,4,15,492,655,279,445,17,21,34,33,2,6,1,1
12338,Norwich,4,5,Liverpool,47.9,52.1,5,7,6,13,615,655,401,445,20,22,32,31,3,3,1,4
12334,Swansea,1,0,Watford,56.7,43.3,2,2,10,12,763,607,501,378,17,32,57,29,6,3,5,0
12333,Stoke,0,0,Arsenal,45,55,6,3,14,8,594,707,406,495,9,11,18,34,6,6,9,0
12332,Liverpool,0,1,Man Utd,53.3,46.7,4,1,19,7,705,666,491,431,36,26,11,33,5,4,3,0
12325,Aston Villa,1,1,Leicester,56.5,43.5,5,5,14,12,718,597,500,398,18,20,17,33,3,4,1,4
12326,Bournemouth,3,0,Norwich,45.4,54.6,8,3,15,10,580,616,353,418,19,21,26,21,5,3,1,4
12327,Chelsea,3,3,Everton,54.9,45.1,7,4,14,9,765,681,569,477,26,18,15,34,6,4,3,1
12328,Man City,4,0,Crystal Palace,52.8,47.2,4,3,17,9,696,620,490,426,22,24,34,10,5,6,0,1
12329,Newcastle,2,1,West Ham,50.7,49.3,10,3,23,10,671,648,457,436,24,23,21,17,3,3,2,1
12330,Southampton,3,0,West Brom,55.8,44.2,5,0,9,10,646,527,465,355,14,16,34,21,1,3,2,4
12331,Spurs,4,1,Sunderland,66.6,33.4,11,2,26,5,811,501,621,316,18,19,19,33,11,3,1,3
12319,Liverpool,3,3,Arsenal,59.5,40.5,6,5,22,14,762,589,535,378,21,20,20,40,9,3,4,5
12324,Spurs,0,1,Leicester,61.7,38.3,5,2,21,10,707,529,454,293,14,28,37,51,16,8,2,2
