MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9271,CHE,2,0,FUL,64.4,35.6,9,1,24,4,793,552,604,332,27,16,15,35,13,3,1,1,14,905.72,166.0,323.072,416.648,14,817.178,147.0,283.178,387.0
9272,LIV,0,1,SOT,55.2,44.8,5,7,10,12,707,598,465,373,20,38,27,29,6,6,3,5,14,877.966,174.9,316.0,387.066,14,833.808,122.384,259.424,452.0
9273,NUFC,2,3,HUL,61.3,38.7,2,5,15,12,755,569,552,340,17,28,23,37,3,3,0,5,14,848.656,155.433,255.446,437.777,14,790.11,215.0,290.11,285.0
9275,WBA,3,0,SUN,54.1,45.9,4,0,13,7,702,572,479,400,14,23,41,23,5,6,4,0,14,786.55,93.666,298.398,394.486,14,805.188,101.456,415.732,288.0
9276,WHU,2,3,EVE,37.7,62.3,2,4,10,10,510,748,319,526,26,17,29,41,5,5,0,2,14,796.923,185.775,230.148,381.0,14,863.124,154.5,243.428,465.196
9274,NOR,0,1,AVL,64.2,35.8,2,4,13,16,683,493,464,264,14,25,10,45,7,4,2,2,14,813.71,145.6,297.0,371.11,14,800.533,220.245,214.288,366.0
9270,SWAN,2,2,LIV,58.9,41.1,9,5,18,12,836,637,628,432,18,16,35,43,3,7,1,2,13,841.33,270.33,187.0,384.0,14,862.814,169.955,351.452,341.407
9269,SOT,0,0,WHU,58.7,41.3,5,1,15,6,666,517,413,282,26,19,44,31,10,5,0,2,13,833.08,139.2,242.6,451.28,14,797.642,146.778,250.628,400.236
9262,EVE,1,0,CHE,43.5,56.5,5,6,11,22,603,699,373,491,23,19,35,11,5,7,2,0,14,865.702,152.011,257.559,456.132,14,909.666,187.005,328.0,394.661
9261,AVL,1,2,NUFC,54.7,45.3,1,8,10,17,665,613,469,392,24,14,20,32,4,2,1,3,14,820.846,244.338,202.508,374.0,14,847.624,132.0,253.23,462.394
9263,FUL,1,1,WBA,56.6,43.4,2,4,12,12,715,584,522,387,14,15,29,38,4,5,3,4,14,789.222,145.512,223.814,419.896,14,780.935,71.335,301.6,408.0
9264,HUL,1,1,CAR,46,54,5,2,18,10,627,705,428,505,13,10,34,39,6,2,2,1,12,801.976,287.0,221.976,293.0,14,769.389,137.389,284.0,348.0
9266,STK,0,0,MCFC,42.1,57.9,3,3,11,10,567,722,356,509,23,21,15,35,2,4,1,0,14,811.098,90.082,271.016,450.0,13,891.311,167.5,404.811,319.0
9267,SUN,1,3,ARS,30.6,69.4,3,6,18,14,474,855,273,656,25,16,22,18,6,6,4,0,14,790.057,149.424,327.633,313.0,14,880.695,156.981,323.109,400.605
9268,TOT,2,0,NOR,69,31,7,1,23,5,894,472,653,289,15,29,23,26,8,1,1,4,14,858.524,104.698,358.826,395.0,14,814.356,132.006,310.35,372.0
9265,MUFC,2,0,CRY,60.4,39.6,8,0,20,4,783,570,556,377,13,24,22,33,10,1,5,0,14,892.275,175.146,345.344,371.785,14,780.351,142.071,237.736,400.544
9258,ARS,1,0,TOT,43.4,56.6,5,5,12,14,606,725,394,509,29,14,34,19,3,6,1,0,14,880.704,150.118,327.434,403.152,14,853.94,95.36,350.299,408.281
9259,LIV,1,0,MUFC,43,57,5,4,11,10,589,715,379,478,31,17,33,32,2,7,1,0,14,879.47,240.396,248.448,390.626,14,876.291,182.498,281.609,412.184
9260,WBA,0,2,SWAN,42,58,1,4,10,12,641,837,457,637,14,18,29,29,2,5,3,3,14,778.491,86.189,274.95,417.352,13,845.876,325.701,136.175,384.0
9253,CRY,3,1,SUN,50,50,7,2,18,10,658,628,419,407,28,24,51,33,6,6,2,1,14,785.83,138.604,219.226,428.0,13,783.102,110.0,331.102,342.0
9252,CAR,0,0,EVE,37,63,1,3,4,13,501,724,302,514,23,15,38,26,4,5,4,4,14,781.89,143.336,287.554,351.0,13,869.804,99.132,313.436,457.236
9255,NUFC,1,0,FUL,53.8,46.2,9,2,24,3,681,615,466,417,20,13,22,38,13,2,0,3,14,840.802,200.786,228.722,411.294,14,789.455,68.217,228.939,492.299
9256,NOR,1,0,SOT,42.2,57.8,4,2,14,11,568,687,341,480,30,19,29,16,5,4,1,6,12,814.0,133.612,308.388,372.0,14,829.089,154.689,311.242,363.158
9257,WHU,0,1,STK,44.9,55.1,0,5,9,15,517,581,321,405,12,17,29,27,3,4,1,1,14,798.847,139.254,272.116,387.477,13,809.844,73.0,286.844,450.0
