MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
12163,Sunderland,0,1,Spurs,43.9,56.1,2,4,12,15,543,646,313,411,22,26,30,31,6,8,2,0,14,827.132,143.7,251.782,431.65,14,868.922,139.288,325.634,404.0
12158,Man Utd,3,1,Liverpool,55.7,44.3,3,4,9,8,775,636,559,446,23,23,25,25,4,4,2,2,14,893.01,0.0,485.01,408.0,14,854.876,215.204,251.131,388.541
12155,Arsenal,2,0,Stoke,67.6,32.4,12,3,29,9,842,496,628,305,18,16,13,31,13,1,3,3,14,905.095,180.798,319.297,405.0,13,839.501,152.501,235.0,452.0
12156,Crystal Palace,0,1,Man City,42.2,57.8,2,7,10,21,570,693,359,498,17,15,29,21,4,4,5,0,14,833.679,86.474,445.205,302.0,14,900.337,104.387,389.092,406.858
12159,Norwich,3,1,Bournemouth,47.7,52.3,4,2,12,7,604,663,432,476,21,13,15,15,4,4,0,2,14,810.256,135.081,369.189,305.986,14,791.802,127.848,302.954,361.0
12160,Watford,1,0,Swansea,39.2,60.8,6,3,17,8,520,705,330,515,17,8,27,39,1,3,0,6,14,820.038,131.661,384.558,303.819,14,848.822,155.156,308.666,385.0
12161,West Brom,0,0,Southampton,35.1,64.9,1,4,8,15,509,816,333,614,20,12,28,20,4,5,1,2,14,814.345,154.389,301.0,358.956,13,836.677,97.968,362.544,376.165
12157,Everton,3,1,Chelsea,38.8,61.2,9,2,14,15,554,749,351,561,23,21,39,12,7,14,0,2,14,829.036,292.0,232.9,304.136,14,906.299,103.204,396.095,407.0
12154,Swansea,2,1,Man Utd,35.5,64.5,4,4,9,11,549,830,365,657,14,15,32,20,0,1,3,1,14,849.413,155.8,307.865,385.748,14,890.236,85.0,408.236,397.0
12153,Southampton,3,0,Norwich,61.1,38.9,8,1,23,6,733,503,533,348,16,14,19,28,6,4,2,0,14,827.6,155.2,302.0,370.4,14,806.659,99.253,370.326,337.08
12152,Spurs,0,0,Everton,49.9,50.1,6,3,20,8,624,644,440,443,25,17,17,19,6,2,3,1,13,869.543,117.623,345.92,406.0,14,836.303,232.443,293.86,310.0
12145,Aston Villa,2,2,Sunderland,62,38,6,3,21,7,772,537,523,329,20,32,27,39,5,4,0,1,12,822.488,73.0,318.056,431.432,14,827.78,114.5,308.78,404.5
12146,Bournemouth,1,1,Leicester,56.1,43.9,2,2,5,4,659,550,435,336,16,30,30,17,4,4,1,1,14,799.085,75.0,362.952,361.133,14,812.162,117.0,392.162,303.0
12147,Chelsea,1,2,Crystal Palace,63.7,36.3,9,5,26,13,781,534,582,321,16,17,19,45,7,7,0,2,14,911.08,106.894,415.194,388.992,14,833.876,148.0,307.876,378.0
12148,Liverpool,0,3,West Ham,62.7,37.3,1,5,13,12,735,516,543,326,12,25,18,25,5,7,1,0,14,865.467,244.068,205.943,415.456,14,843.481,147.774,308.174,387.533
12149,Man City,2,0,Watford,58.7,41.3,5,0,18,7,841,634,645,458,15,30,17,23,9,3,1,1,11,906.0,88.0,412.0,406.0,11,830.0,153.0,300.0,377.0
12151,Stoke,0,1,West Brom,49.1,50.9,5,5,13,15,632,660,446,455,18,19,19,26,6,5,2,3,14,841.356,154.8,230.756,455.8,14,815.467,124.825,304.442,386.2
12150,Newcastle,0,1,Arsenal,26.3,73.7,0,9,1,22,456,969,268,777,21,21,33,14,0,9,2,2,14,841.701,103.349,357.352,381.0,13,896.422,103.204,388.218,405.0
12144,Arsenal,0,0,Liverpool,65.7,34.3,5,8,19,15,928,577,667,351,23,25,26,36,7,8,5,4,13,894.722,239.502,262.22,393.0,14,861.298,219.552,254.052,387.694
12141,Everton,0,2,Man City,45.7,54.3,1,9,10,16,608,682,408,487,21,17,24,21,8,7,3,2,14,830.843,238.711,287.132,305.0,14,906.203,87.2,413.003,406.0
12142,Watford,0,0,Southampton,52,48,0,4,13,14,639,613,431,412,15,14,15,28,5,2,4,2,13,816.78,153.0,296.78,367.0,14,827.39,144.318,235.072,448.0
12143,West Brom,2,3,Chelsea,43.9,56.1,6,5,15,15,543,646,373,496,13,9,15,24,8,7,2,1,14,810.289,103.975,348.314,358.0,14,917.821,84.601,391.224,441.996
12135,Crystal Palace,2,1,Aston Villa,49.9,50.1,6,2,16,11,535,548,357,363,15,13,21,24,6,4,4,0,14,829.644,146.5,305.144,378.0,12,817.835,147.0,294.835,376.0
12136,Leicester,1,1,Spurs,34.8,65.2,2,6,13,19,454,715,265,523,19,11,15,41,2,7,1,0,14,823.249,155.803,364.446,303.0,14,872.848,103.406,365.442,404.0
12138,Norwich,1,1,Stoke,42.6,57.4,7,1,20,6,503,640,326,467,22,15,22,18,9,0,2,4,13,810.336,138.056,380.28,292.0,14,844.431,181.424,215.157,447.85
12139,Sunderland,1,1,Swansea,39.3,60.7,2,9,10,20,490,705,318,494,25,9,17,28,3,4,4,2,14,831.026,74.568,444.794,311.664,12,850.688,155.688,310.0,385.0
12140,West Ham,3,4,Bournemouth,45.8,54.2,4,7,10,15,570,659,373,452,20,17,15,37,5,4,3,1,14,833.532,99.825,347.0,386.707,14,801.188,75.0,363.418,362.77
12137,Man Utd,0,0,Newcastle,69.3,30.7,8,0,20,7,858,496,637,280,17,20,22,35,11,5,4,2,14,884.696,85.0,383.08,416.616,14,807.551,139.313,310.238,358.0
12134,Liverpool,1,0,Bournemouth,54.9,45.1,2,2,18,13,716,612,492,387,24,22,36,23,6,8,1,0,14,860.054,253.804,212.55,393.7,14,799.843,75.0,355.843,369.0
12133,Man City,3,0,Chelsea,49.2,50.8,8,3,18,10,615,644,423,443,17,20,23,25,5,1,1,3,14,905.566,87.376,402.674,415.516,14,914.956,153.306,329.874,431.776
12132,Crystal Palace,1,2,Arsenal,40.8,59.2,4,7,11,20,600,792,376,564,18,27,35,36,6,6,3,2,14,832.398,155.77,298.628,378.0,14,910.007,248.136,245.709,416.162
