HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
13,877.933,302.582,169.351,406,13,870.171,229.228,243.943,"397
"
14,902.797,171.998,318.899,411.9,14,893.542,85,476.113,"332.429
"
13,851.33,142.807,321.523,387,14,875.364,253.741,217.623,"404
"
13,815.123,238.122,289.001,288,13,874.258,243.624,233.634,"397
"
14,913.122,204.622,298.5,410,14,850.526,156.0,304.734,"389.792
"
14,822.844,175.144,309.7,338.0,14,843.268,230.2,211.593,"401.475
"
13,797.411,72,331.721,393.69,14,815.103,169.247,281.352,"364.504
"
14,901.193,98.055,396.138,407,14,825.432,149,307.267,"369.165
"
14,809.416,165.32,352.096,292,14,822.03,154.334,246.648,"421.048
"
14,817.228,68.109,392.158,356.961,14,836.257,173.648,284.944,"377.665
"
13,829.956,146.0,382.956,301,14,808.88,117.0,337.278,"354.602
"
14,811.455,140.793,313.107,357.555,14,818.145,237.298,306.047,"274.8
"
14,817.733,159.853,358.548,299.332,14,825.357,146.0,378.357,"301
"
14,816.804,145.58,305.2,366.024,14,907.644,162.644,340.0,"405
"
14,817.294,138.097,376.197,303,14,910.603,182.102,318.501,"410
"
12,874.836,243.0,234.836,397,13,819.0,73,371.0,"375
"
14,893.398,85,403.22,405.178,13,814.722,56.794,353.428,"404.5
"
14,849.359,155.648,304.711,389,14,849.889,155.0,309.889,"385
"
14,846.067,192.067,257.475,396.525,14,800.112,72.567,357.235,"370.31
"
14,843.066,152.8,311.266,379,14,812.109,146.189,299.92,"366
"
14,876.331,231.684,240.647,404,14,893.312,84.128,412.184,"397
"
14,875.7,260.5,218.2,397,13,806.932,72.156,442.776,"292
"
14,833.634,167.7,292.434,373.5,14,891.568,85,403.665,"402.903
"
14,874.062,189.579,280.483,404,14,826.385,115.19,413.195,"298
"
14,903.898,114.251,390.373,399.274,14,837.175,148.34,309.667,"379.168
"
14,817.688,110.5,320.956,386.232,14,815.416,136.369,319.2,"359.847
"
14,802.468,74.532,359.166,368.77,14,823.004,131.968,339.7,"351.336
"
14,842.213,149.5,319.705,373.008,14,817.113,153,356.121,"307.992
"
14,842.887,175.23,221.807,445.85,14,823.133,154.133,366.0,"303
"
14,849.826,130.362,334.464,385,13,816.714,293.594,233.12,"290
"
14,912.402,166.555,340.847,405,14,900.162,171.998,287.164,"441.0
"
14,840.915,127.862,335.784,377.269,14,841.569,126.617,333.952,"381
"
14,827.399,138.097,386.302,303,14,818.411,94.125,350.242,"374.044
"
14,827.132,143.7,251.782,431.65,14,868.922,139.288,325.634,"404
"
14,893.01,0,485.01,408,14,854.876,215.204,251.131,"388.541
"
14,905.095,180.798,319.297,405,13,839.501,152.501,235,"452
"
14,833.679,86.474,445.205,302,14,900.337,104.387,389.092,"406.858
"
14,810.256,135.081,369.189,305.986,14,791.802,127.848,302.954,"361
"
14,820.038,131.661,384.558,303.819,14,848.822,155.156,308.666,"385
"
14,814.345,154.389,301.0,358.956,13,836.677,97.968,362.544,"376.165
"
14,829.036,292.0,232.9,304.136,14,906.299,103.204,396.095,"407
"
14,849.413,155.8,307.865,385.748,14,890.236,85,408.236,"397
"
